Course Title,Course Description
APPD 1001 - User Interface Design and Development,"                                This course provides an introduction to effective and usable interface design. Emphasis will be placed on designing user experiences that adhere to industry standards. Starting from project requirements, learners will design user interfaces and test for usability. Both desktop and web application interfaces will be explored."
COMM 1700 - Professional Practices for IT I,"                                This course exposes learners to tools and process that support professional continuous improvement. Focused on communication, collaboration and career development, you will begin to develop the 21st century skills essential for success in the information technology industries. This course will build the foundations for professional habits and methodologies that help graduates remain current and relevant in an ever evolving profession."
COMM 2700 - Professional Practices for IT II,"                                This course develops tools and process that support professional continuous improvement. Focused on communication, collaboration and career development, you will begin to develop the 21st century skills essential for success in the information technology industries. This course will establish professional habits, methodologies and strategies to help graduates remain current and relevant in an ever evolving profession. Learners will also begin to cultivate critical thinking skills and apply processes that support and validate professional decision making."
COMM 3700 - Professional Practices for IT III,"                                This course develops the skills, attitudes, processes and habits required to successfully prepare for a variety of interview scenarios and the associated presentation techniques. Emphasis is on the development of a professional portfolio and the part that personal marketing plays in gaining successful, relevant employment. The course will also continue to build professional habits, methodologies and strategies to help graduates remain current and relevant in an ever evolving profession."
COMM 4700 - Professional Practices for IT IV,"                                This course is the final in a suite of four, and as such provides learners with the skills and knowledge to curate a personal, professional portfolio in readiness for employment in the IT industry. Learners will also regularly practice and prepare for numerous interview situations and scenarios by honing the skills and techniques previously acquired. New, essential competencies are introduced focused on diversity and inclusiveness in the workplace and the challenges surrounding ethical decision making processes."
DBAS 1007 - Data Fundamentals,                                This course introduces learners to the concept of a database management system and its role in the IT infrastructure of any business. Learners will use a database management system to develop a database and use this database to store and manipulate data. Learners will also be asked to interpret database diagrams and create database objects based on their meaning.
INET 2005 - Web Application Programming I,"                                This course focuses on the planning, design and development of dynamic (data-aware) web pages using server-side scripting and database connectivity."
INFT 2100 - Project Management,                                This course covers the basic theory and skills that introduce the learners to the process of effective project management and the unique challenges of Information Technology (IT) projects and methodologies.
INFT 3000 - Capstone,"                                Learners acquire hands-on experience on a group project applying much of the material learned throughout their program. Throughout this course, learners will apply their skills to prepare and deliver technical documentation and presentations using various media platforms."
INFT 4100 - Work Experience,"                                This course is the second of the campus-based applied learning experiences for Systems Management Concentration learners which may consist of an industry work experience alone or a combination of work experience and directed studies, industry projects or applied research. It takes place in the final five weeks of the second academic year. Available options may vary from campus to campus. At least five weeks of this course must consist of an industry work experience. This is a summative experience in the context of a real-world organization."
MOBI 3002 - Mobile Application Development - Android,"                                Android provides a platform; a single application model, tools, and an open marketplace (for distribution) that lets you deploy applications to users across a wide range of mobile devices. In this course, learners will develop mobile software applications that run on the Android platform."
NETW 1700 - Introduction to Networking and Security,"                                This course introduces the models, components, functions, architecture, and structure of computer networks. The principles and Internet Protocol (IP) addressing and the fundamentals of Ethernet concepts, media and operations are introduced to provide a foundation for future courses. By the end of this course, learners will be able to build simple Local Area Networks, perform basic configurations for routers and switches, and implement IP addressing schemes."
OSYS 1000 - Operating Systems - Linux,"                                This course introduces the skills and knowledge that will enable the student to install, configure, maintain and troubleshoot a current UNIX based operating system (OS) in standalone workstation mode."
OSYS 1200 - Introduction to Windows Administration,                                This course is an introductory course to familiarize the learner with key topics in managing a Windows client operating system.
PROG 1400 - Introduction to Object Oriented Programming,"                                This course is an introduction to the essentials of object oriented programming (OOP). This course provides an explanation of the paradigm on which OOP is based, and how it affects programming strategies and solutions."
PROG 1700 - Logic and Programming I,"                                This course provides an introduction to the fundamentals of logic and computer programming, and the roles they play in creating software solutions for any problem. Logic is used to break down software instructions into manageable tasks, to allow for comprehensive problem-solving using computer code. Programming is the act of creating the detailed instructions used by computers to perform any specified task or required behaviour. This course covers the process of creating logical designs and implementing them as programmatic code to build computer software programs."
PROG 2007 - Programming II,"                                This course introduces learners to the C programming language, focusing on the various uses of pointers, efficient memory management and interfacing with the standard C libraries. The course will also highlight the differences between the C language and other common programming languages that learners may be familiar with, in terms of syntax and coding practices."
PROG 2100 - Programming C++,"                                This course introduces learners to the C++ programming language, focusing on the use of pointers, memory management, generic programming and the Standard Template Library. Exploration of the language in a project context aims at reinforcing object-orient design principles; use of idioms & design patterns; use of UML in design and documentation; and utilization of third-party libraries."
PROG 2200 - Advanced OOP,                                Advanced object-oriented programming (OOP) builds on the student’s understanding of object-oriented concepts in a project-based learning environment. The course includes application of object-oriented design principles and the software design patterns upholding these principles. This course includes development of network-aware applications and uses approaches such as multi-threading and distributed application models.
PROG 2400 - Data Structures,"                                This course presents fundamental data structures and algorithms with a pragmatic, application driven approach. Selected data structures are examined in detail together with implementation issues, and an in-depth discussion of their corresponding algorithms."
PROG 2500 - Windows Programming C#,                                This course explores Graphical User Interface (GUI) programming in a Windows environment. The emphasis is on learning practical approaches for designing and implementing GUI-based programs using the .NET framework.
SAAD 1001 - Introduction to Systems Analysis and Design (AD),"                                This course explores the analysis and design phases of the software development life cycle using object-oriented methodologies and tools. Exploration can include an introduction to the Unified Modelling Language (UML), the philosophy of agile development and the basics of good proposal writing."
SAFE 1000 - Introduction to WHMIS (Workplace Hazardous Materials Information Systems),"                                This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification."
SAFE 1001 - Introduction to NS OH&S Act,"                                This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given."
WEBD 1000 - Website Development,"                                This course provides an introduction to website development. Emphasis will be placed on development processes, usability, and adhering to current industry standards."
